  R0   T0   rho0
0.900 1.000 144.737
0.900 1.000 160.263
0.900 1.000 175.789
0.900 1.000 191.316
0.900 1.000 206.842
0.900 1.000 222.368
0.900 1.000 237.895
0.900 1.000 253.421
0.900 1.000 268.947
0.900 1.000 284.474
0.900 1.000 300.000
0.967 1.000 82.632
0.967 1.000 98.158
0.967 1.000 113.684
0.967 1.000 129.211
0.967 1.000 144.737
0.967 1.000 160.263
0.967 1.000 175.789
0.967 1.000 191.316
0.967 1.000 206.842
0.967 1.000 222.368
0.967 1.000 237.895
0.967 1.000 253.421
0.967 1.000 268.947
0.967 1.000 284.474
0.967 1.000 300.000
1.033 1.000 51.579
1.033 1.000 67.105
1.033 1.000 82.632
1.033 1.000 98.158
1.033 1.000 113.684
1.033 1.000 129.211
1.033 1.000 144.737
1.033 1.000 160.263
1.033 1.000 175.789
1.033 1.000 191.316
1.033 1.000 206.842
1.033 1.000 222.368
1.033 1.000 237.895
1.033 1.000 253.421
1.033 1.000 268.947
1.033 1.000 284.474
1.033 1.000 300.000
1.100 1.000 51.579
1.100 1.000 67.105
1.100 1.000 82.632
1.100 1.000 98.158
1.100 1.000 113.684
1.100 1.000 129.211
1.100 1.000 144.737
1.100 1.000 160.263
1.100 1.000 175.789
1.100 1.000 191.316
1.100 1.000 206.842
1.100 1.000 222.368
1.100 1.000 237.895
1.100 1.000 253.421
1.100 1.000 268.947
1.100 1.000 284.474
1.100 1.000 300.000
1.167 1.000 36.053
1.167 1.000 51.579
1.167 1.000 67.105
1.167 1.000 82.632
1.167 1.000 98.158
1.167 1.000 113.684
1.167 1.000 129.211
1.167 1.000 144.737
1.167 1.000 160.263
1.167 1.000 175.789
1.167 1.000 191.316
1.167 1.000 206.842
1.167 1.000 222.368
1.167 1.000 237.895
1.167 1.000 253.421
1.167 1.000 268.947
1.167 1.000 284.474
1.233 1.000 36.053
1.233 1.000 51.579
1.233 1.000 67.105
1.233 1.000 82.632
1.233 1.000 98.158
1.233 1.000 113.684
1.233 1.000 129.211
1.233 1.000 144.737
1.233 1.000 160.263
1.233 1.000 175.789
1.233 1.000 191.316
1.233 1.000 206.842
1.300 1.000 36.053
1.300 1.000 51.579
1.300 1.000 67.105
1.300 1.000 82.632
1.300 1.000 98.158
1.300 1.000 113.684
1.300 1.000 129.211
1.300 1.000 144.737
1.367 1.000 36.053
1.367 1.000 51.579
1.367 1.000 67.105
1.367 1.000 82.632
1.367 1.000 98.158
1.367 1.000 113.684
1.433 1.000 36.053
1.433 1.000 51.579
1.433 1.000 67.105
1.433 1.000 82.632
1.500 1.000 20.526
1.500 1.000 36.053
1.500 1.000 51.579
1.500 1.000 67.105
0.900 1.050 144.737
0.900 1.050 160.263
0.900 1.050 175.789
0.900 1.050 191.316
0.900 1.050 206.842
0.900 1.050 222.368
0.900 1.050 237.895
0.900 1.050 253.421
0.900 1.050 268.947
0.900 1.050 284.474
0.900 1.050 300.000
0.967 1.050 82.632
0.967 1.050 98.158
0.967 1.050 113.684
0.967 1.050 129.211
0.967 1.050 144.737
0.967 1.050 160.263
0.967 1.050 175.789
0.967 1.050 191.316
0.967 1.050 206.842
0.967 1.050 222.368
0.967 1.050 237.895
0.967 1.050 253.421
0.967 1.050 268.947
0.967 1.050 284.474
0.967 1.050 300.000
1.033 1.050 51.579
1.033 1.050 67.105
1.033 1.050 82.632
1.033 1.050 98.158
